iter	Passed	Remaining
840	25739	4866
841	25769	4835
842	25799	4804
843	25829	4774
844	25860	4743
845	25888	4712
846	25918	4681
847	25949	4651
848	25978	4620
849	26006	4589
850	26033	4558
851	26061	4527
852	26095	4497
853	26130	4467
854	26164	4437
855	26196	4406
856	26230	4376
857	26258	4345
858	26287	4314
859	26320	4284
860	26350	4254
861	26386	4224
862	26415	4193
863	26445	4162
864	26478	4132
865	26509	4101
866	26537	4070
867	26569	4040
868	26601	4010
869	26629	3979
870	26659	3948
871	26691	3918
872	26722	3887
873	26754	3857
874	26782	3826
875	26814	3795
876	26838	3764
877	26868	3733
878	26899	3702
879	26930	3672
880	26955	3640
881	26988	3610
882	27022	3580
883	27052	3549
884	27082	3519
885	27110	3488
886	27139	3457
887	27169	3426
888	27198	3395
889	27229	3365
890	27259	3334
891	27289	3304
892	27316	3273
893	27345	3242
894	27376	3211
895	27406	3181
896	27436	3150
897	27466	3119
898	27494	3088
899	27529	3058
900	27563	3028
901	27595	2998
902	27627	2967
903	27658	2937
904	27689	2906
905	27717	2875
906	27744	2844
907	27775	2814
908	27805	2783
909	27840	2753
910	27871	2722
911	27904	2692
912	27934	2661
913	27959	2630
914	27986	2599
915	28015	2569
916	28047	2538
917	28079	2508
918	28105	2477
919	28133	2446
920	28159	2415
921	28189	2384
922	28220	2354
923	28247	2323
924	28273	2292
925	28305	2261
926	28338	2231
927	28369	2201
928	28394	2170
929	28426	2139
930	28459	2109
931	28493	2078
932	28527	2048
933	28557	2017
934	28586	1987
935	28619	1956
936	28646	1926
937	28678	1895
938	28709	1865
939	28740	1834
940	28767	1803
941	28800	1773
942	28831	1742
943	28864	1712
944	28895	1681
945	28923	1650
946	28946	1620
947	28978	1589
948	29009	1558
949	29037	1528
950	29070	1497
951	29099	1467
952	29130	1436
953	29161	1406
954	29192	1375
955	29223	1345
956	29252	1314
957	29282	1283
958	29313	1253
959	29343	1222
960	29375	1192
961	29407	1161
962	29436	1130
963	29467	1100
964	29499	1069
965	29530	1039
966	29564	1008
967	29593	978
968	29621	947
969	29652	917
970	29681	886
971	29718	856
972	29749	825
973	29782	795
974	29817	764
975	29847	733
976	29880	703
977	29909	672
978	29942	642
979	29974	611
980	30004	581
981	30033	550
982	30062	519
983	30091	489
984	30123	458
985	30152	428
986	30185	397
987	30212	366
988	30244	336
989	30272	305
990	30300	275
991	30327	244
992	30358	214
993	30391	183
994	30420	152
995	30450	122
996	30481	91
997	30511	61
998	30539	30
999	30572	0
